badge_number,position,department,work_date,day_of_week,punch_count,hours_worked,status,is_absent,prior_records,prior_absence_rate,prior_avg_hours
EMP1003,ENGINEER,Operations,2026-04-01,Wednesday,4,7.5,PRESENT,0,0,,
EMP1003,ENGINEER,Operations,2026-04-02,Thursday,6,9.066666666666666,PRESENT,0,1,0.0,7.5
EMP1003,ENGINEER,Operations,2026-04-03,Friday,4,7.783333333333333,PRESENT,0,2,0.0,8.283333333333335
EMP1003,ENGINEER,Operations,2026-04-06,Monday,4,8.766666666666667,PRESENT,0,3,0.0,8.116666666666667
EMP1003,ENGINEER,Operations,2026-04-07,Tuesday,6,9.966666666666667,PRESENT,0,4,0.0,8.279166666666667
EMP1003,ENGINEER,Operations,2026-04-08,Wednesday,4,10.0,PRESENT,0,5,0.0,8.616666666666667
EMP1003,ENGINEER,Operations,2026-04-09,Thursday,6,9.916666666666666,PRESENT,0,6,0.0,8.847222222222223
EMP1003,ENGINEER,Operations,2026-04-10,Friday,2,10.05,PRESENT,0,7,0.0,9.0
EMP1003,ENGINEER,Operations,2026-04-13,Monday,0,0.0,ABSENT,1,8,0.0,9.13125
EMP1003,ENGINEER,Operations,2026-04-14,Tuesday,2,10.166666666666666,PRESENT,0,9,0.1111111111111111,8.116666666666667
EMP1003,ENGINEER,Operations,2026-04-15,Wednesday,4,8.166666666666666,PRESENT,0,10,0.1,8.321666666666665
EMP1003,ENGINEER,Operations,2026-04-16,Thursday,2,7.45,PRESENT,0,11,0.09090909090909091,8.307575757575757
EMP1004,TECHNICIAN,Operations,2026-04-01,Wednesday,4,10.633333333333333,PRESENT,0,0,,
EMP1004,TECHNICIAN,Operations,2026-04-02,Thursday,6,9.066666666666666,PRESENT,0,1,0.0,10.633333333333333
EMP1004,TECHNICIAN,Operations,2026-04-03,Friday,4,9.45,PRESENT,0,2,0.0,9.85
EMP1004,TECHNICIAN,Operations,2026-04-06,Monday,4,9.316666666666666,PRESENT,0,3,0.0,9.716666666666667
EMP1004,TECHNICIAN,Operations,2026-04-07,Tuesday,4,8.7,PRESENT,0,4,0.0,9.616666666666667
EMP1004,TECHNICIAN,Operations,2026-04-08,Wednesday,4,9.983333333333333,PRESENT,0,5,0.0,9.433333333333334
EMP1004,TECHNICIAN,Operations,2026-04-09,Thursday,4,9.066666666666666,PRESENT,0,6,0.0,9.525
EMP1004,TECHNICIAN,Operations,2026-04-10,Friday,6,7.6,PRESENT,0,7,0.0,9.45952380952381
EMP1004,TECHNICIAN,Operations,2026-04-13,Monday,6,9.166666666666666,PRESENT,0,8,0.0,9.227083333333333
EMP1004,TECHNICIAN,Operations,2026-04-14,Tuesday,0,0.0,ABSENT,1,9,0.0,9.22037037037037
EMP1004,TECHNICIAN,Operations,2026-04-15,Wednesday,0,0.0,ABSENT,1,10,0.1,8.298333333333334
EMP1004,TECHNICIAN,Operations,2026-04-16,Thursday,4,10.166666666666666,PRESENT,0,11,0.18181818181818182,7.543939393939393
EMP1005,DRIVER,Logistics,2026-04-01,Wednesday,2,9.283333333333333,PRESENT,0,0,,
EMP1005,DRIVER,Logistics,2026-04-02,Thursday,4,9.066666666666666,PRESENT,0,1,0.0,9.283333333333335
EMP1005,DRIVER,Logistics,2026-04-03,Friday,2,9.316666666666666,PRESENT,0,2,0.0,9.174999999999999
EMP1005,DRIVER,Logistics,2026-04-06,Monday,2,8.816666666666666,PRESENT,0,3,0.0,9.222222222222223
EMP1005,DRIVER,Logistics,2026-04-07,Tuesday,4,9.933333333333334,PRESENT,0,4,0.0,9.120833333333334
EMP1005,DRIVER,Logistics,2026-04-08,Wednesday,6,7.7,PRESENT,0,5,0.0,9.283333333333333
EMP1005,DRIVER,Logistics,2026-04-09,Thursday,4,9.25,PRESENT,0,6,0.0,9.019444444444444
EMP1005,DRIVER,Logistics,2026-04-10,Friday,6,7.566666666666666,PRESENT,0,7,0.0,9.052380952380954
EMP1005,DRIVER,Logistics,2026-04-13,Monday,4,9.033333333333333,PRESENT,0,8,0.0,8.866666666666667
EMP1005,DRIVER,Logistics,2026-04-14,Tuesday,4,7.6,PRESENT,0,9,0.0,8.885185185185186
EMP1005,DRIVER,Logistics,2026-04-15,Wednesday,4,9.55,PRESENT,0,10,0.0,8.756666666666668
EMP1005,DRIVER,Logistics,2026-04-16,Thursday,2,9.4,PRESENT,0,11,0.0,8.828787878787878
EMP1006,SUPERVISOR,Management,2026-04-01,Wednesday,4,8.383333333333333,PRESENT,0,0,,
EMP1006,SUPERVISOR,Management,2026-04-02,Thursday,4,8.566666666666666,PRESENT,0,1,0.0,8.383333333333333
EMP1006,SUPERVISOR,Management,2026-04-03,Friday,4,9.483333333333333,PRESENT,0,2,0.0,8.474999999999998
EMP1006,SUPERVISOR,Management,2026-04-06,Monday,6,9.25,PRESENT,0,3,0.0,8.81111111111111
EMP1006,SUPERVISOR,Management,2026-04-07,Tuesday,4,9.2,PRESENT,0,4,0.0,8.920833333333334
EMP1006,SUPERVISOR,Management,2026-04-08,Wednesday,6,10.016666666666667,PRESENT,0,5,0.0,8.976666666666667
EMP1006,SUPERVISOR,Management,2026-04-09,Thursday,0,0.0,ABSENT,1,6,0.0,9.15
EMP1006,SUPERVISOR,Management,2026-04-10,Friday,4,9.466666666666667,PRESENT,0,7,0.14285714285714285,7.842857142857142
EMP1006,SUPERVISOR,Management,2026-04-13,Monday,4,9.3,PRESENT,0,8,0.125,8.045833333333334
EMP1006,SUPERVISOR,Management,2026-04-14,Tuesday,4,8.266666666666667,PRESENT,0,9,0.1111111111111111,8.185185185185185
EMP1006,SUPERVISOR,Management,2026-04-15,Wednesday,6,10.083333333333334,PRESENT,0,10,0.1,8.193333333333333
EMP1006,SUPERVISOR,Management,2026-04-16,Thursday,2,8.916666666666666,PRESENT,0,11,0.09090909090909091,8.365151515151515
EMP1007,CLERK,Finance,2026-04-01,Wednesday,4,8.416666666666666,PRESENT,0,0,,
EMP1007,CLERK,Finance,2026-04-02,Thursday,4,9.783333333333333,PRESENT,0,1,0.0,8.416666666666666
EMP1007,CLERK,Finance,2026-04-03,Friday,4,8.166666666666666,PRESENT,0,2,0.0,9.100000000000001
EMP1007,CLERK,Finance,2026-04-06,Monday,4,7.816666666666666,PRESENT,0,3,0.0,8.788888888888888
EMP1007,CLERK,Finance,2026-04-07,Tuesday,4,7.25,PRESENT,0,4,0.0,8.545833333333333
EMP1007,CLERK,Finance,2026-04-08,Wednesday,6,7.833333333333333,PRESENT,0,5,0.0,8.286666666666665
EMP1007,CLERK,Finance,2026-04-09,Thursday,4,7.65,PRESENT,0,6,0.0,8.21111111111111
EMP1007,CLERK,Finance,2026-04-10,Friday,4,9.0,PRESENT,0,7,0.0,8.13095238095238
EMP1007,CLERK,Finance,2026-04-13,Monday,4,9.966666666666667,PRESENT,0,8,0.0,8.239583333333332
EMP1007,CLERK,Finance,2026-04-14,Tuesday,4,7.85,PRESENT,0,9,0.0,8.431481481481482
EMP1007,CLERK,Finance,2026-04-15,Wednesday,0,0.0,ABSENT,1,10,0.0,8.373333333333333
EMP1007,CLERK,Finance,2026-04-16,Thursday,4,9.983333333333333,PRESENT,0,11,0.09090909090909091,7.612121212121212
EMP1008,ACCOUNTANT,Finance,2026-04-01,Wednesday,2,9.2,PRESENT,0,0,,
EMP1008,ACCOUNTANT,Finance,2026-04-02,Thursday,4,7.783333333333333,PRESENT,0,1,0.0,9.200000000000001
EMP1008,ACCOUNTANT,Finance,2026-04-03,Friday,4,8.583333333333334,PRESENT,0,2,0.0,8.491666666666667
EMP1008,ACCOUNTANT,Finance,2026-04-06,Monday,4,7.8,PRESENT,0,3,0.0,8.522222222222222
EMP1008,ACCOUNTANT,Finance,2026-04-07,Tuesday,4,9.516666666666667,PRESENT,0,4,0.0,8.341666666666667
EMP1008,ACCOUNTANT,Finance,2026-04-08,Wednesday,2,8.15,PRESENT,0,5,0.0,8.576666666666666
EMP1008,ACCOUNTANT,Finance,2026-04-09,Thursday,4,9.583333333333334,PRESENT,0,6,0.0,8.505555555555555
EMP1008,ACCOUNTANT,Finance,2026-04-10,Friday,4,7.75,PRESENT,0,7,0.0,8.65952380952381
EMP1008,ACCOUNTANT,Finance,2026-04-13,Monday,0,0.0,ABSENT,1,8,0.0,8.545833333333334
EMP1008,ACCOUNTANT,Finance,2026-04-14,Tuesday,4,8.783333333333333,PRESENT,0,9,0.1111111111111111,7.596296296296297
EMP1008,ACCOUNTANT,Finance,2026-04-15,Wednesday,4,9.166666666666666,PRESENT,0,10,0.1,7.714999999999999
EMP1008,ACCOUNTANT,Finance,2026-04-16,Thursday,6,8.55,PRESENT,0,11,0.09090909090909091,7.846969696969698
EMP1009,LABORER,Logistics,2026-04-01,Wednesday,4,8.05,PRESENT,0,0,,
EMP1009,LABORER,Logistics,2026-04-02,Thursday,4,8.5,PRESENT,0,1,0.0,8.05
EMP1009,LABORER,Logistics,2026-04-03,Friday,4,8.733333333333333,PRESENT,0,2,0.0,8.274999999999999
EMP1009,LABORER,Logistics,2026-04-06,Monday,6,10.416666666666666,PRESENT,0,3,0.0,8.427777777777779
EMP1009,LABORER,Logistics,2026-04-07,Tuesday,0,0.0,ABSENT,1,4,0.0,8.925
EMP1009,LABORER,Logistics,2026-04-08,Wednesday,4,9.733333333333333,PRESENT,0,5,0.2,7.139999999999999
EMP1009,LABORER,Logistics,2026-04-09,Thursday,4,10.616666666666667,PRESENT,0,6,0.16666666666666666,7.572222222222222
EMP1009,LABORER,Logistics,2026-04-10,Friday,0,0.0,ABSENT,1,7,0.14285714285714285,8.007142857142856
EMP1009,LABORER,Logistics,2026-04-13,Monday,4,9.283333333333333,PRESENT,0,8,0.25,7.00625
EMP1009,LABORER,Logistics,2026-04-14,Tuesday,4,9.033333333333333,PRESENT,0,9,0.2222222222222222,7.259259259259259
EMP1009,LABORER,Logistics,2026-04-15,Wednesday,6,9.85,PRESENT,0,10,0.2,7.436666666666667
EMP1009,LABORER,Logistics,2026-04-16,Thursday,4,9.6,PRESENT,0,11,0.18181818181818182,7.656060606060606
EMP1010,ADMINISTRATOR,Management,2026-04-01,Wednesday,2,8.383333333333333,PRESENT,0,0,,
EMP1010,ADMINISTRATOR,Management,2026-04-02,Thursday,6,9.766666666666667,PRESENT,0,1,0.0,8.383333333333331
EMP1010,ADMINISTRATOR,Management,2026-04-03,Friday,2,10.25,PRESENT,0,2,0.0,9.075
EMP1010,ADMINISTRATOR,Management,2026-04-06,Monday,4,9.416666666666666,PRESENT,0,3,0.0,9.466666666666667
EMP1010,ADMINISTRATOR,Management,2026-04-07,Tuesday,2,10.433333333333334,PRESENT,0,4,0.0,9.454166666666666
EMP1010,ADMINISTRATOR,Management,2026-04-08,Wednesday,2,9.366666666666667,PRESENT,0,5,0.0,9.65
EMP1010,ADMINISTRATOR,Management,2026-04-09,Thursday,4,10.133333333333333,PRESENT,0,6,0.0,9.602777777777778
EMP1010,ADMINISTRATOR,Management,2026-04-10,Friday,4,9.95,PRESENT,0,7,0.0,9.678571428571429
EMP1010,ADMINISTRATOR,Management,2026-04-13,Monday,6,8.1,PRESENT,0,8,0.0,9.7125
EMP1010,ADMINISTRATOR,Management,2026-04-14,Tuesday,0,0.0,ABSENT,1,9,0.0,9.533333333333333
EMP1010,ADMINISTRATOR,Management,2026-04-15,Wednesday,4,7.95,PRESENT,0,10,0.1,8.58
EMP1010,ADMINISTRATOR,Management,2026-04-16,Thursday,4,9.733333333333333,PRESENT,0,11,0.09090909090909091,8.522727272727273
EMP1011,ENGINEER,Operations,2026-04-01,Wednesday,0,0.0,ABSENT,1,0,,
EMP1011,ENGINEER,Operations,2026-04-02,Thursday,6,7.766666666666667,PRESENT,0,1,1.0,0.0
EMP1011,ENGINEER,Operations,2026-04-03,Friday,6,8.666666666666666,PRESENT,0,2,0.5,3.8833333333333337
EMP1011,ENGINEER,Operations,2026-04-06,Monday,4,8.866666666666667,PRESENT,0,3,0.3333333333333333,5.477777777777777
EMP1011,ENGINEER,Operations,2026-04-07,Tuesday,4,9.5,PRESENT,0,4,0.25,6.324999999999999
EMP1011,ENGINEER,Operations,2026-04-08,Wednesday,6,8.35,PRESENT,0,5,0.2,6.959999999999999
EMP1011,ENGINEER,Operations,2026-04-09,Thursday,6,10.5,PRESENT,0,6,0.16666666666666666,7.191666666666666
EMP1011,ENGINEER,Operations,2026-04-10,Friday,0,0.0,ABSENT,1,7,0.14285714285714285,7.664285714285714
EMP1011,ENGINEER,Operations,2026-04-13,Monday,4,8.5,PRESENT,0,8,0.25,6.70625
EMP1011,ENGINEER,Operations,2026-04-14,Tuesday,4,7.35,PRESENT,0,9,0.2222222222222222,6.905555555555555
EMP1011,ENGINEER,Operations,2026-04-15,Wednesday,0,0.0,ABSENT,1,10,0.2,6.95
EMP1011,ENGINEER,Operations,2026-04-16,Thursday,2,9.7,PRESENT,0,11,0.2727272727272727,6.318181818181818
EMP1012,TECHNICIAN,Operations,2026-04-01,Wednesday,4,8.7,PRESENT,0,0,,
EMP1012,TECHNICIAN,Operations,2026-04-02,Thursday,2,9.033333333333333,PRESENT,0,1,0.0,8.700000000000001
EMP1012,TECHNICIAN,Operations,2026-04-03,Friday,4,8.883333333333333,PRESENT,0,2,0.0,8.866666666666667
EMP1012,TECHNICIAN,Operations,2026-04-06,Monday,4,10.0,PRESENT,0,3,0.0,8.872222222222222
EMP1012,TECHNICIAN,Operations,2026-04-07,Tuesday,4,9.433333333333334,PRESENT,0,4,0.0,9.154166666666665
EMP1012,TECHNICIAN,Operations,2026-04-08,Wednesday,2,8.7,PRESENT,0,5,0.0,9.209999999999999
EMP1012,TECHNICIAN,Operations,2026-04-09,Thursday,4,7.633333333333334,PRESENT,0,6,0.0,9.125
EMP1012,TECHNICIAN,Operations,2026-04-10,Friday,2,10.316666666666666,PRESENT,0,7,0.0,8.911904761904763
EMP1012,TECHNICIAN,Operations,2026-04-13,Monday,4,9.25,PRESENT,0,8,0.0,9.0875
EMP1012,TECHNICIAN,Operations,2026-04-14,Tuesday,4,10.166666666666666,PRESENT,0,9,0.0,9.105555555555554
EMP1012,TECHNICIAN,Operations,2026-04-15,Wednesday,6,8.116666666666667,PRESENT,0,10,0.0,9.211666666666668
EMP1012,TECHNICIAN,Operations,2026-04-16,Thursday,2,8.25,PRESENT,0,11,0.0,9.112121212121211
EMP1013,DRIVER,Logistics,2026-04-01,Wednesday,4,8.516666666666667,PRESENT,0,0,,
EMP1013,DRIVER,Logistics,2026-04-02,Thursday,4,8.816666666666666,PRESENT,0,1,0.0,8.51666666666667
EMP1013,DRIVER,Logistics,2026-04-03,Friday,6,10.116666666666667,PRESENT,0,2,0.0,8.666666666666668
EMP1013,DRIVER,Logistics,2026-04-06,Monday,4,9.55,PRESENT,0,3,0.0,9.15
EMP1013,DRIVER,Logistics,2026-04-07,Tuesday,6,9.216666666666667,PRESENT,0,4,0.0,9.25
EMP1013,DRIVER,Logistics,2026-04-08,Wednesday,4,7.566666666666666,PRESENT,0,5,0.0,9.243333333333334
EMP1013,DRIVER,Logistics,2026-04-09,Thursday,4,8.85,PRESENT,0,6,0.0,8.963888888888889
EMP1013,DRIVER,Logistics,2026-04-10,Friday,4,9.916666666666666,PRESENT,0,7,0.0,8.947619047619048
EMP1013,DRIVER,Logistics,2026-04-13,Monday,2,10.9,PRESENT,0,8,0.0,9.06875
EMP1013,DRIVER,Logistics,2026-04-14,Tuesday,4,10.716666666666667,PRESENT,0,9,0.0,9.272222222222222
EMP1013,DRIVER,Logistics,2026-04-15,Wednesday,4,9.466666666666667,PRESENT,0,10,0.0,9.416666666666668
EMP1013,DRIVER,Logistics,2026-04-16,Thursday,4,7.933333333333334,PRESENT,0,11,0.0,9.42121212121212
EMP1014,SUPERVISOR,Management,2026-04-01,Wednesday,0,0.0,ABSENT,1,0,,
EMP1014,SUPERVISOR,Management,2026-04-02,Thursday,2,10.8,PRESENT,0,1,1.0,0.0
EMP1014,SUPERVISOR,Management,2026-04-03,Friday,4,7.15,PRESENT,0,2,0.5,5.400000000000001
EMP1014,SUPERVISOR,Management,2026-04-06,Monday,4,9.05,PRESENT,0,3,0.3333333333333333,5.983333333333333
EMP1014,SUPERVISOR,Management,2026-04-07,Tuesday,0,0.0,ABSENT,1,4,0.25,6.75
EMP1014,SUPERVISOR,Management,2026-04-08,Wednesday,4,10.083333333333334,PRESENT,0,5,0.4,5.4
EMP1014,SUPERVISOR,Management,2026-04-09,Thursday,4,9.433333333333334,PRESENT,0,6,0.3333333333333333,6.1805555555555545
EMP1014,SUPERVISOR,Management,2026-04-10,Friday,4,8.016666666666667,PRESENT,0,7,0.2857142857142857,6.6452380952380965
EMP1014,SUPERVISOR,Management,2026-04-13,Monday,2,9.316666666666666,PRESENT,0,8,0.25,6.816666666666666
EMP1014,SUPERVISOR,Management,2026-04-14,Tuesday,4,9.25,PRESENT,0,9,0.2222222222222222,7.094444444444445
EMP1014,SUPERVISOR,Management,2026-04-15,Wednesday,4,10.033333333333333,PRESENT,0,10,0.2,7.3100000000000005
EMP1014,SUPERVISOR,Management,2026-04-16,Thursday,6,10.016666666666667,PRESENT,0,11,0.18181818181818182,7.5575757575757585
EMP1015,CLERK,Finance,2026-04-01,Wednesday,4,9.5,PRESENT,0,0,,
EMP1015,CLERK,Finance,2026-04-02,Thursday,6,9.333333333333334,PRESENT,0,1,0.0,9.500000000000002
EMP1015,CLERK,Finance,2026-04-03,Friday,6,9.716666666666667,PRESENT,0,2,0.0,9.416666666666668
EMP1015,CLERK,Finance,2026-04-06,Monday,2,10.7,PRESENT,0,3,0.0,9.516666666666667
EMP1015,CLERK,Finance,2026-04-07,Tuesday,2,9.4,PRESENT,0,4,0.0,9.8125
EMP1015,CLERK,Finance,2026-04-08,Wednesday,4,9.633333333333333,PRESENT,0,5,0.0,9.73
EMP1015,CLERK,Finance,2026-04-09,Thursday,4,8.766666666666667,PRESENT,0,6,0.0,9.713888888888889
EMP1015,CLERK,Finance,2026-04-10,Friday,0,0.0,ABSENT,1,7,0.0,9.578571428571427
EMP1015,CLERK,Finance,2026-04-13,Monday,4,9.866666666666667,PRESENT,0,8,0.125,8.381250000000001
EMP1015,CLERK,Finance,2026-04-14,Tuesday,4,7.95,PRESENT,0,9,0.1111111111111111,8.546296296296298
EMP1015,CLERK,Finance,2026-04-15,Wednesday,6,9.916666666666666,PRESENT,0,10,0.1,8.486666666666666
EMP1015,CLERK,Finance,2026-04-16,Thursday,2,7.666666666666667,PRESENT,0,11,0.09090909090909091,8.616666666666667
EMP1016,ACCOUNTANT,Finance,2026-04-01,Wednesday,2,7.75,PRESENT,0,0,,
EMP1016,ACCOUNTANT,Finance,2026-04-02,Thursday,2,8.133333333333333,PRESENT,0,1,0.0,7.75
EMP1016,ACCOUNTANT,Finance,2026-04-03,Friday,4,9.466666666666667,PRESENT,0,2,0.0,7.941666666666667
EMP1016,ACCOUNTANT,Finance,2026-04-06,Monday,4,8.583333333333334,PRESENT,0,3,0.0,8.450000000000001
EMP1016,ACCOUNTANT,Finance,2026-04-07,Tuesday,4,9.4,PRESENT,0,4,0.0,8.483333333333334
EMP1016,ACCOUNTANT,Finance,2026-04-08,Wednesday,4,10.033333333333333,PRESENT,0,5,0.0,8.666666666666668
EMP1016,ACCOUNTANT,Finance,2026-04-09,Thursday,0,0.0,ABSENT,1,6,0.0,8.894444444444444
EMP1016,ACCOUNTANT,Finance,2026-04-10,Friday,0,0.0,ABSENT,1,7,0.14285714285714285,7.623809523809524
EMP1016,ACCOUNTANT,Finance,2026-04-13,Monday,4,8.0,PRESENT,0,8,0.25,6.670833333333333
EMP1016,ACCOUNTANT,Finance,2026-04-14,Tuesday,2,8.383333333333333,PRESENT,0,9,0.2222222222222222,6.818518518518519
EMP1016,ACCOUNTANT,Finance,2026-04-15,Wednesday,4,8.733333333333333,PRESENT,0,10,0.2,6.975
EMP1016,ACCOUNTANT,Finance,2026-04-16,Thursday,2,10.433333333333334,PRESENT,0,11,0.18181818181818182,7.134848484848485
EMP1017,LABORER,Logistics,2026-04-01,Wednesday,6,9.866666666666667,PRESENT,0,0,,
EMP1017,LABORER,Logistics,2026-04-02,Thursday,2,9.8,PRESENT,0,1,0.0,9.866666666666667
EMP1017,LABORER,Logistics,2026-04-03,Friday,4,7.95,PRESENT,0,2,0.0,9.833333333333334
EMP1017,LABORER,Logistics,2026-04-06,Monday,6,10.633333333333333,PRESENT,0,3,0.0,9.205555555555556
EMP1017,LABORER,Logistics,2026-04-07,Tuesday,2,7.916666666666667,PRESENT,0,4,0.0,9.5625
EMP1017,LABORER,Logistics,2026-04-08,Wednesday,4,7.583333333333333,PRESENT,0,5,0.0,9.233333333333333
EMP1017,LABORER,Logistics,2026-04-09,Thursday,2,7.816666666666666,PRESENT,0,6,0.0,8.958333333333334
EMP1017,LABORER,Logistics,2026-04-10,Friday,0,0.0,ABSENT,1,7,0.0,8.795238095238094
EMP1017,LABORER,Logistics,2026-04-13,Monday,4,7.866666666666666,PRESENT,0,8,0.125,7.695833333333334
EMP1017,LABORER,Logistics,2026-04-14,Tuesday,4,9.883333333333333,PRESENT,0,9,0.1111111111111111,7.714814814814815
EMP1017,LABORER,Logistics,2026-04-15,Wednesday,6,8.35,PRESENT,0,10,0.1,7.9316666666666675
EMP1017,LABORER,Logistics,2026-04-16,Thursday,4,7.883333333333334,PRESENT,0,11,0.09090909090909091,7.969696969696969
EMP1018,ADMINISTRATOR,Management,2026-04-01,Wednesday,4,9.283333333333333,PRESENT,0,0,,
EMP1018,ADMINISTRATOR,Management,2026-04-02,Thursday,4,10.583333333333334,PRESENT,0,1,0.0,9.283333333333333
EMP1018,ADMINISTRATOR,Management,2026-04-03,Friday,2,8.15,PRESENT,0,2,0.0,9.933333333333334
EMP1018,ADMINISTRATOR,Management,2026-04-06,Monday,2,9.666666666666666,PRESENT,0,3,0.0,9.33888888888889
EMP1018,ADMINISTRATOR,Management,2026-04-07,Tuesday,2,9.983333333333333,PRESENT,0,4,0.0,9.420833333333333
EMP1018,ADMINISTRATOR,Management,2026-04-08,Wednesday,2,7.55,PRESENT,0,5,0.0,9.533333333333335
EMP1018,ADMINISTRATOR,Management,2026-04-09,Thursday,4,8.316666666666666,PRESENT,0,6,0.0,9.202777777777778
EMP1018,ADMINISTRATOR,Management,2026-04-10,Friday,4,8.7,PRESENT,0,7,0.0,9.076190476190476
EMP1018,ADMINISTRATOR,Management,2026-04-13,Monday,2,7.766666666666667,PRESENT,0,8,0.0,9.029166666666667
EMP1018,ADMINISTRATOR,Management,2026-04-14,Tuesday,4,9.15,PRESENT,0,9,0.0,8.88888888888889
EMP1018,ADMINISTRATOR,Management,2026-04-15,Wednesday,4,9.6,PRESENT,0,10,0.0,8.915000000000001
EMP1018,ADMINISTRATOR,Management,2026-04-16,Thursday,4,10.316666666666666,PRESENT,0,11,0.0,8.977272727272727
EMP1019,ENGINEER,Operations,2026-04-01,Wednesday,4,8.7,PRESENT,0,0,,
EMP1019,ENGINEER,Operations,2026-04-02,Thursday,6,8.333333333333334,PRESENT,0,1,0.0,8.699999999999998
EMP1019,ENGINEER,Operations,2026-04-03,Friday,4,8.716666666666667,PRESENT,0,2,0.0,8.516666666666666
EMP1019,ENGINEER,Operations,2026-04-06,Monday,4,8.916666666666666,PRESENT,0,3,0.0,8.583333333333334
EMP1019,ENGINEER,Operations,2026-04-07,Tuesday,6,9.516666666666667,PRESENT,0,4,0.0,8.666666666666668
EMP1019,ENGINEER,Operations,2026-04-08,Wednesday,4,8.6,PRESENT,0,5,0.0,8.836666666666666
EMP1019,ENGINEER,Operations,2026-04-09,Thursday,4,9.3,PRESENT,0,6,0.0,8.797222222222222
EMP1019,ENGINEER,Operations,2026-04-10,Friday,6,7.666666666666667,PRESENT,0,7,0.0,8.869047619047619
EMP1019,ENGINEER,Operations,2026-04-13,Monday,2,8.8,PRESENT,0,8,0.0,8.71875
EMP1019,ENGINEER,Operations,2026-04-14,Tuesday,6,8.383333333333333,PRESENT,0,9,0.0,8.72777777777778
EMP1019,ENGINEER,Operations,2026-04-15,Wednesday,4,10.033333333333333,PRESENT,0,10,0.0,8.693333333333333
EMP1019,ENGINEER,Operations,2026-04-16,Thursday,6,7.35,PRESENT,0,11,0.0,8.815151515151515
EMP1020,TECHNICIAN,Operations,2026-04-01,Wednesday,4,7.566666666666666,PRESENT,0,0,,
EMP1020,TECHNICIAN,Operations,2026-04-02,Thursday,2,10.45,PRESENT,0,1,0.0,7.566666666666666
EMP1020,TECHNICIAN,Operations,2026-04-03,Friday,0,0.0,ABSENT,1,2,0.0,9.008333333333333
EMP1020,TECHNICIAN,Operations,2026-04-06,Monday,4,10.733333333333333,PRESENT,0,3,0.3333333333333333,6.0055555555555555
EMP1020,TECHNICIAN,Operations,2026-04-07,Tuesday,2,7.683333333333334,PRESENT,0,4,0.25,7.187499999999999
