badge_number,position,work_date,punch_count,hours_worked,status,is_absent
EMP1001,LABORER,2026-04-16,4,8.35,PRESENT,0
EMP1017,LABORER,2026-04-02,2,9.8,PRESENT,0
EMP1006,SUPERVISOR,2026-04-13,4,9.3,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-15,4,9.166666666666666,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-01,2,8.383333333333333,PRESENT,0
EMP1005,DRIVER,2026-04-06,2,8.816666666666666,PRESENT,0
EMP1030,SUPERVISOR,2026-04-02,2,7.883333333333334,PRESENT,0
EMP1020,TECHNICIAN,2026-04-15,2,9.316666666666666,PRESENT,0
EMP1004,TECHNICIAN,2026-04-08,4,9.983333333333333,PRESENT,0
EMP1014,SUPERVISOR,2026-04-15,4,10.033333333333333,PRESENT,0
EMP1019,ENGINEER,2026-04-01,4,8.7,PRESENT,0
EMP1011,ENGINEER,2026-04-07,4,9.5,PRESENT,0
EMP1003,ENGINEER,2026-04-14,2,10.166666666666666,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-02,2,8.133333333333333,PRESENT,0
EMP1019,ENGINEER,2026-04-15,4,10.033333333333333,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-02,4,7.783333333333333,PRESENT,0
EMP1027,ENGINEER,2026-04-14,6,9.1,PRESENT,0
EMP1012,TECHNICIAN,2026-04-09,4,7.633333333333334,PRESENT,0
EMP1011,ENGINEER,2026-04-16,2,9.7,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-03,4,8.516666666666667,PRESENT,0
EMP1021,DRIVER,2026-04-09,2,9.033333333333333,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-09,4,9.583333333333334,PRESENT,0
EMP1020,TECHNICIAN,2026-04-01,4,7.566666666666666,PRESENT,0
EMP1020,TECHNICIAN,2026-04-10,4,9.066666666666666,PRESENT,0
EMP1013,DRIVER,2026-04-07,6,9.216666666666667,PRESENT,0
EMP1009,LABORER,2026-04-06,6,10.416666666666666,PRESENT,0
EMP1027,ENGINEER,2026-04-16,0,0.0,ABSENT,1
EMP1013,DRIVER,2026-04-01,4,8.516666666666667,PRESENT,0
EMP1023,CLERK,2026-04-13,4,8.116666666666667,PRESENT,0
EMP1023,CLERK,2026-04-15,6,7.983333333333333,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-13,6,7.933333333333334,PRESENT,0
EMP1020,TECHNICIAN,2026-04-07,2,7.683333333333334,PRESENT,0
EMP1021,DRIVER,2026-04-01,4,9.033333333333333,PRESENT,0
EMP1019,ENGINEER,2026-04-09,4,9.3,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-16,4,9.733333333333333,PRESENT,0
EMP1015,CLERK,2026-04-10,0,0.0,ABSENT,1
EMP1006,SUPERVISOR,2026-04-10,4,9.466666666666667,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-16,4,7.866666666666666,PRESENT,0
EMP1014,SUPERVISOR,2026-04-02,2,10.8,PRESENT,0
EMP1003,ENGINEER,2026-04-13,0,0.0,ABSENT,1
EMP1009,LABORER,2026-04-09,4,10.616666666666667,PRESENT,0
EMP1012,TECHNICIAN,2026-04-03,4,8.883333333333333,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-15,4,9.45,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-08,4,8.4,PRESENT,0
EMP1030,SUPERVISOR,2026-04-08,0,0.0,ABSENT,1
EMP1011,ENGINEER,2026-04-13,4,8.5,PRESENT,0
EMP1005,DRIVER,2026-04-10,6,7.566666666666666,PRESENT,0
EMP1011,ENGINEER,2026-04-10,0,0.0,ABSENT,1
EMP1001,LABORER,2026-04-02,4,10.133333333333333,PRESENT,0
EMP1025,LABORER,2026-04-06,4,10.316666666666666,PRESENT,0
EMP1025,LABORER,2026-04-09,4,8.7,PRESENT,0
EMP1029,DRIVER,2026-04-16,4,8.616666666666667,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-10,4,9.95,PRESENT,0
EMP1030,SUPERVISOR,2026-04-15,4,8.866666666666667,PRESENT,0
EMP1025,LABORER,2026-04-03,0,0.0,ABSENT,1
EMP1022,SUPERVISOR,2026-04-08,4,7.7,PRESENT,0
EMP1027,ENGINEER,2026-04-02,4,9.766666666666667,PRESENT,0
EMP1004,TECHNICIAN,2026-04-03,4,9.45,PRESENT,0
EMP1022,SUPERVISOR,2026-04-06,2,8.216666666666667,PRESENT,0
EMP1004,TECHNICIAN,2026-04-07,4,8.7,PRESENT,0
EMP1027,ENGINEER,2026-04-13,4,10.55,PRESENT,0
EMP1009,LABORER,2026-04-02,4,8.5,PRESENT,0
EMP1009,LABORER,2026-04-01,4,8.05,PRESENT,0
EMP1012,TECHNICIAN,2026-04-16,2,8.25,PRESENT,0
EMP1027,ENGINEER,2026-04-09,0,0.0,ABSENT,1
EMP1015,CLERK,2026-04-13,4,9.866666666666667,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-10,0,0.0,ABSENT,1
EMP1007,CLERK,2026-04-08,6,7.833333333333333,PRESENT,0
EMP1003,ENGINEER,2026-04-09,6,9.916666666666666,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-07,2,9.983333333333333,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-02,4,9.833333333333334,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-16,2,10.433333333333334,PRESENT,0
EMP1027,ENGINEER,2026-04-10,4,9.9,PRESENT,0
EMP1001,LABORER,2026-04-07,4,8.066666666666666,PRESENT,0
EMP1021,DRIVER,2026-04-10,2,10.1,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-09,0,0.0,ABSENT,1
EMP1012,TECHNICIAN,2026-04-15,6,8.116666666666667,PRESENT,0
EMP1014,SUPERVISOR,2026-04-08,4,10.083333333333334,PRESENT,0
EMP1004,TECHNICIAN,2026-04-15,0,0.0,ABSENT,1
EMP1005,DRIVER,2026-04-01,2,9.283333333333333,PRESENT,0
EMP1004,TECHNICIAN,2026-04-06,4,9.316666666666666,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-10,2,7.816666666666666,PRESENT,0
EMP1006,SUPERVISOR,2026-04-03,4,9.483333333333333,PRESENT,0
EMP1021,DRIVER,2026-04-07,0,0.0,ABSENT,1
EMP1018,ADMINISTRATOR,2026-04-10,4,8.7,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-06,4,9.416666666666666,PRESENT,0
EMP1014,SUPERVISOR,2026-04-09,4,9.433333333333334,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-03,2,8.366666666666667,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-15,2,9.916666666666666,PRESENT,0
EMP1003,ENGINEER,2026-04-10,2,10.05,PRESENT,0
EMP1013,DRIVER,2026-04-03,6,10.116666666666667,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-03,2,10.25,PRESENT,0
EMP1003,ENGINEER,2026-04-02,6,9.066666666666666,PRESENT,0
EMP1001,LABORER,2026-04-09,4,7.6,PRESENT,0
EMP1007,CLERK,2026-04-07,4,7.25,PRESENT,0
EMP1001,LABORER,2026-04-13,4,9.233333333333333,PRESENT,0
EMP1007,CLERK,2026-04-15,0,0.0,ABSENT,1
EMP1016,ACCOUNTANT,2026-04-03,4,9.466666666666667,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-07,2,10.433333333333334,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-14,6,9.666666666666666,PRESENT,0
EMP1007,CLERK,2026-04-03,4,8.166666666666666,PRESENT,0
EMP1009,LABORER,2026-04-13,4,9.283333333333333,PRESENT,0
EMP1025,LABORER,2026-04-07,4,8.7,PRESENT,0
EMP1019,ENGINEER,2026-04-10,6,7.666666666666667,PRESENT,0
EMP1017,LABORER,2026-04-06,6,10.633333333333333,PRESENT,0
EMP1012,TECHNICIAN,2026-04-01,4,8.7,PRESENT,0
EMP1003,ENGINEER,2026-04-03,4,7.783333333333333,PRESENT,0
EMP1006,SUPERVISOR,2026-04-01,4,8.383333333333333,PRESENT,0
EMP1022,SUPERVISOR,2026-04-10,4,8.516666666666667,PRESENT,0
EMP1028,TECHNICIAN,2026-04-01,6,9.366666666666667,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-06,6,9.616666666666667,PRESENT,0
EMP1025,LABORER,2026-04-14,4,9.733333333333333,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-06,4,8.583333333333334,PRESENT,0
EMP1005,DRIVER,2026-04-03,2,9.316666666666666,PRESENT,0
EMP1021,DRIVER,2026-04-15,2,8.466666666666667,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-14,0,0.0,ABSENT,1
EMP1028,TECHNICIAN,2026-04-09,4,9.266666666666667,PRESENT,0
EMP1023,CLERK,2026-04-10,4,9.033333333333333,PRESENT,0
EMP1007,CLERK,2026-04-16,4,9.983333333333333,PRESENT,0
EMP1011,ENGINEER,2026-04-15,0,0.0,ABSENT,1
EMP1020,TECHNICIAN,2026-04-14,6,10.716666666666667,PRESENT,0
EMP1004,TECHNICIAN,2026-04-10,6,7.6,PRESENT,0
EMP1014,SUPERVISOR,2026-04-10,4,8.016666666666667,PRESENT,0
EMP1025,LABORER,2026-04-13,4,9.316666666666666,PRESENT,0
EMP1003,ENGINEER,2026-04-15,4,8.166666666666666,PRESENT,0
EMP1006,SUPERVISOR,2026-04-15,6,10.083333333333334,PRESENT,0
EMP1020,TECHNICIAN,2026-04-16,4,9.433333333333334,PRESENT,0
EMP1009,LABORER,2026-04-07,0,0.0,ABSENT,1
EMP1020,TECHNICIAN,2026-04-08,2,8.766666666666667,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-02,4,9.116666666666667,PRESENT,0
EMP1023,CLERK,2026-04-14,6,10.9,PRESENT,0
EMP1011,ENGINEER,2026-04-08,6,8.35,PRESENT,0
EMP1007,CLERK,2026-04-10,4,9.0,PRESENT,0
EMP1028,TECHNICIAN,2026-04-08,2,9.016666666666667,PRESENT,0
EMP1006,SUPERVISOR,2026-04-02,4,8.566666666666666,PRESENT,0
EMP1011,ENGINEER,2026-04-09,6,10.5,PRESENT,0
EMP1023,CLERK,2026-04-07,0,0.0,ABSENT,1
EMP1020,TECHNICIAN,2026-04-13,6,7.116666666666666,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-07,4,8.516666666666667,PRESENT,0
EMP1028,TECHNICIAN,2026-04-15,4,7.7,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-01,2,7.75,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-01,2,9.2,PRESENT,0
EMP1030,SUPERVISOR,2026-04-16,4,9.8,PRESENT,0
EMP1023,CLERK,2026-04-09,0,0.0,ABSENT,1
EMP1030,SUPERVISOR,2026-04-14,6,10.7,PRESENT,0
EMP1029,DRIVER,2026-04-08,4,9.983333333333333,PRESENT,0
EMP1019,ENGINEER,2026-04-08,4,8.6,PRESENT,0
EMP1020,TECHNICIAN,2026-04-06,4,10.733333333333333,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-03,4,8.583333333333334,PRESENT,0
EMP1007,CLERK,2026-04-02,4,9.783333333333333,PRESENT,0
EMP1003,ENGINEER,2026-04-06,4,8.766666666666667,PRESENT,0
EMP1012,TECHNICIAN,2026-04-08,2,8.7,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-08,4,10.016666666666667,PRESENT,0
EMP1019,ENGINEER,2026-04-13,2,8.8,PRESENT,0
EMP1011,ENGINEER,2026-04-14,4,7.35,PRESENT,0
EMP1009,LABORER,2026-04-10,0,0.0,ABSENT,1
EMP1014,SUPERVISOR,2026-04-13,2,9.316666666666666,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-01,4,9.283333333333333,PRESENT,0
EMP1025,LABORER,2026-04-10,4,9.25,PRESENT,0
EMP1029,DRIVER,2026-04-14,0,0.0,ABSENT,1
EMP1016,ACCOUNTANT,2026-04-13,4,8.0,PRESENT,0
EMP1029,DRIVER,2026-04-10,0,0.0,ABSENT,1
EMP1023,CLERK,2026-04-03,2,8.4,PRESENT,0
EMP1011,ENGINEER,2026-04-06,4,8.866666666666667,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-13,0,0.0,ABSENT,1
EMP1016,ACCOUNTANT,2026-04-15,4,8.733333333333333,PRESENT,0
EMP1014,SUPERVISOR,2026-04-16,6,10.016666666666667,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-06,4,8.733333333333333,PRESENT,0
EMP1030,SUPERVISOR,2026-04-07,2,8.45,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-07,4,9.516666666666667,PRESENT,0
EMP1022,SUPERVISOR,2026-04-09,4,7.483333333333333,PRESENT,0
EMP1012,TECHNICIAN,2026-04-13,4,9.25,PRESENT,0
EMP1013,DRIVER,2026-04-10,4,9.916666666666666,PRESENT,0
EMP1014,SUPERVISOR,2026-04-07,0,0.0,ABSENT,1
EMP1009,LABORER,2026-04-16,4,9.6,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-01,6,9.633333333333333,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-13,0,0.0,ABSENT,1
EMP1016,ACCOUNTANT,2026-04-07,4,9.4,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-16,4,9.583333333333334,PRESENT,0
EMP1014,SUPERVISOR,2026-04-03,4,7.15,PRESENT,0
EMP1029,DRIVER,2026-04-02,4,8.35,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-03,2,8.15,PRESENT,0
EMP1005,DRIVER,2026-04-14,4,7.6,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-07,4,9.516666666666667,PRESENT,0
EMP1025,LABORER,2026-04-16,6,9.016666666666667,PRESENT,0
EMP1004,TECHNICIAN,2026-04-16,4,10.166666666666666,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-16,6,8.55,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-09,4,9.233333333333333,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-13,4,8.8,PRESENT,0
EMP1015,CLERK,2026-04-07,2,9.4,PRESENT,0
EMP1015,CLERK,2026-04-06,2,10.7,PRESENT,0
EMP1019,ENGINEER,2026-04-02,6,8.333333333333334,PRESENT,0
EMP1013,DRIVER,2026-04-16,4,7.933333333333334,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-14,2,8.383333333333333,PRESENT,0
EMP1028,TECHNICIAN,2026-04-07,6,10.25,PRESENT,0
EMP1006,SUPERVISOR,2026-04-07,4,9.2,PRESENT,0
EMP1022,SUPERVISOR,2026-04-16,2,9.5,PRESENT,0
EMP1019,ENGINEER,2026-04-07,6,9.516666666666667,PRESENT,0
EMP1015,CLERK,2026-04-03,6,9.716666666666667,PRESENT,0
EMP1027,ENGINEER,2026-04-01,4,7.516666666666667,PRESENT,0
EMP1023,CLERK,2026-04-06,2,8.033333333333333,PRESENT,0
EMP1007,CLERK,2026-04-14,4,7.85,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-06,4,7.8,PRESENT,0
EMP1015,CLERK,2026-04-09,4,8.766666666666667,PRESENT,0
EMP1027,ENGINEER,2026-04-15,4,9.2,PRESENT,0
EMP1005,DRIVER,2026-04-16,2,9.4,PRESENT,0
EMP1005,DRIVER,2026-04-07,4,9.933333333333334,PRESENT,0
EMP1021,DRIVER,2026-04-08,2,7.183333333333334,PRESENT,0
EMP1019,ENGINEER,2026-04-14,6,8.383333333333333,PRESENT,0
EMP1017,LABORER,2026-04-10,0,0.0,ABSENT,1
EMP1011,ENGINEER,2026-04-01,0,0.0,ABSENT,1
EMP1024,ACCOUNTANT,2026-04-15,6,7.383333333333334,PRESENT,0
EMP1007,CLERK,2026-04-06,4,7.816666666666666,PRESENT,0
EMP1028,TECHNICIAN,2026-04-14,2,9.866666666666667,PRESENT,0
EMP1006,SUPERVISOR,2026-04-16,2,8.916666666666666,PRESENT,0
EMP1017,LABORER,2026-04-13,4,7.866666666666666,PRESENT,0
EMP1001,LABORER,2026-04-01,4,8.2,PRESENT,0
EMP1013,DRIVER,2026-04-06,4,9.55,PRESENT,0
EMP1022,SUPERVISOR,2026-04-07,4,7.8,PRESENT,0
EMP1007,CLERK,2026-04-13,4,9.966666666666667,PRESENT,0
EMP1023,CLERK,2026-04-16,6,9.15,PRESENT,0
EMP1015,CLERK,2026-04-14,4,7.95,PRESENT,0
EMP1014,SUPERVISOR,2026-04-01,0,0.0,ABSENT,1
EMP1030,SUPERVISOR,2026-04-03,0,0.0,ABSENT,1
EMP1010,ADMINISTRATOR,2026-04-08,2,9.366666666666667,PRESENT,0
EMP1025,LABORER,2026-04-01,4,9.05,PRESENT,0
EMP1012,TECHNICIAN,2026-04-06,4,10.0,PRESENT,0
EMP1011,ENGINEER,2026-04-02,6,7.766666666666667,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-06,6,10.1,PRESENT,0
EMP1022,SUPERVISOR,2026-04-01,6,7.466666666666667,PRESENT,0
EMP1029,DRIVER,2026-04-03,2,8.2,PRESENT,0
EMP1006,SUPERVISOR,2026-04-09,0,0.0,ABSENT,1
EMP1005,DRIVER,2026-04-02,4,9.066666666666666,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-10,4,8.083333333333334,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-16,0,0.0,ABSENT,1
EMP1003,ENGINEER,2026-04-01,4,7.5,PRESENT,0
EMP1023,CLERK,2026-04-02,4,8.483333333333333,PRESENT,0
EMP1022,SUPERVISOR,2026-04-15,4,10.466666666666667,PRESENT,0
EMP1028,TECHNICIAN,2026-04-03,4,9.683333333333334,PRESENT,0
EMP1030,SUPERVISOR,2026-04-01,4,7.583333333333333,PRESENT,0
EMP1013,DRIVER,2026-04-13,2,10.9,PRESENT,0
EMP1030,SUPERVISOR,2026-04-09,4,9.466666666666667,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-13,6,8.1,PRESENT,0
EMP1029,DRIVER,2026-04-06,4,8.05,PRESENT,0
EMP1015,CLERK,2026-04-15,6,9.916666666666666,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-02,6,9.766666666666667,PRESENT,0
EMP1010,ADMINISTRATOR,2026-04-09,4,10.133333333333333,PRESENT,0
EMP1029,DRIVER,2026-04-15,4,9.633333333333333,PRESENT,0
EMP1029,DRIVER,2026-04-13,4,9.15,PRESENT,0
EMP1025,LABORER,2026-04-02,2,7.65,PRESENT,0
EMP1013,DRIVER,2026-04-09,4,8.85,PRESENT,0
EMP1013,DRIVER,2026-04-15,4,9.466666666666667,PRESENT,0
EMP1029,DRIVER,2026-04-09,6,7.316666666666666,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-08,2,8.15,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-08,4,10.583333333333334,PRESENT,0
EMP1017,LABORER,2026-04-16,4,7.883333333333334,PRESENT,0
EMP1025,LABORER,2026-04-08,4,8.7,PRESENT,0
EMP1022,SUPERVISOR,2026-04-03,2,9.666666666666666,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-16,4,10.316666666666666,PRESENT,0
EMP1004,TECHNICIAN,2026-04-01,4,10.633333333333333,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-07,4,7.55,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-01,2,9.6,PRESENT,0
EMP1013,DRIVER,2026-04-08,4,7.566666666666666,PRESENT,0
EMP1028,TECHNICIAN,2026-04-10,4,8.616666666666667,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-15,4,9.6,PRESENT,0
EMP1017,LABORER,2026-04-01,6,9.866666666666667,PRESENT,0
EMP1009,LABORER,2026-04-08,4,9.733333333333333,PRESENT,0
EMP1007,CLERK,2026-04-09,4,7.65,PRESENT,0
EMP1024,ACCOUNTANT,2026-04-01,4,10.466666666666667,PRESENT,0
EMP1005,DRIVER,2026-04-08,6,7.7,PRESENT,0
EMP1014,SUPERVISOR,2026-04-06,4,9.05,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-02,4,10.583333333333334,PRESENT,0
EMP1004,TECHNICIAN,2026-04-13,6,9.166666666666666,PRESENT,0
EMP1030,SUPERVISOR,2026-04-06,6,10.533333333333333,PRESENT,0
EMP1021,DRIVER,2026-04-14,4,10.116666666666667,PRESENT,0
EMP1028,TECHNICIAN,2026-04-13,2,9.15,PRESENT,0
EMP1012,TECHNICIAN,2026-04-14,4,10.166666666666666,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-14,4,9.15,PRESENT,0
EMP1005,DRIVER,2026-04-15,4,9.55,PRESENT,0
EMP1018,ADMINISTRATOR,2026-04-09,4,8.316666666666666,PRESENT,0
EMP1012,TECHNICIAN,2026-04-07,4,9.433333333333334,PRESENT,0
EMP1005,DRIVER,2026-04-13,4,9.033333333333333,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-02,4,9.416666666666666,PRESENT,0
EMP1001,LABORER,2026-04-03,4,8.7,PRESENT,0
EMP1003,ENGINEER,2026-04-16,2,7.45,PRESENT,0
EMP1019,ENGINEER,2026-04-16,6,7.35,PRESENT,0
EMP1021,DRIVER,2026-04-02,4,7.55,PRESENT,0
EMP1002,ADMINISTRATOR,2026-04-09,4,9.75,PRESENT,0
EMP1005,DRIVER,2026-04-09,4,9.25,PRESENT,0
EMP1020,TECHNICIAN,2026-04-09,4,9.533333333333333,PRESENT,0
EMP1017,LABORER,2026-04-08,4,7.583333333333333,PRESENT,0
EMP1009,LABORER,2026-04-14,4,9.033333333333333,PRESENT,0
EMP1027,ENGINEER,2026-04-08,2,8.133333333333333,PRESENT,0
EMP1022,SUPERVISOR,2026-04-02,6,8.416666666666666,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-09,0,0.0,ABSENT,1
EMP1019,ENGINEER,2026-04-06,4,8.916666666666666,PRESENT,0
EMP1026,ADMINISTRATOR,2026-04-03,4,8.85,PRESENT,0
EMP1020,TECHNICIAN,2026-04-03,0,0.0,ABSENT,1
EMP1023,CLERK,2026-04-01,6,9.55,PRESENT,0
EMP1021,DRIVER,2026-04-13,4,8.8,PRESENT,0
EMP1017,LABORER,2026-04-15,6,8.35,PRESENT,0
EMP1015,CLERK,2026-04-16,2,7.666666666666667,PRESENT,0
EMP1001,LABORER,2026-04-15,6,7.85,PRESENT,0
EMP1016,ACCOUNTANT,2026-04-08,4,10.033333333333333,PRESENT,0
EMP1009,LABORER,2026-04-15,6,9.85,PRESENT,0
EMP1008,ACCOUNTANT,2026-04-14,4,8.783333333333333,PRESENT,0
EMP1017,LABORER,2026-04-09,2,7.816666666666666,PRESENT,0
EMP1017,LABORER,2026-04-14,4,9.883333333333333,PRESENT,0
EMP1012,TECHNICIAN,2026-04-10,2,10.316666666666666,PRESENT,0
EMP1022,SUPERVISOR,2026-04-13,6,8.55,PRESENT,0
EMP1023,CLERK,2026-04-08,4,10.066666666666666,PRESENT,0
